S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
1,DURGALAL VIJAY (VAKEEL SAAB),Bharatiya Janata Party,85006,708,85714,40.45,1
2,BABU JANDEL,Indian National Congress,95602,1242,96844,45.7,1
3,BIHARI SINGH SOLANKI,Bahujan Samaj Party,22833,221,23054,10.88,1
4,ADIL KHAN,Social Democratic Party Of India,729,4,733,0.35,1
5,YOGESH TYAGI,Rashtriya Krantikari Samajwadi Party,233,1,234,0.11,1
6,SHIV MAHESH MODI JI,Parivartan Party of India,166,1,167,0.08,1
7,HARiSHAKAR JATAV,Aazad Samaj Party (Kanshi Ram),378,8,386,0.18,1
8,AYYUB QURESHI,Independent,216,0,216,0.1,1
9,TEJPAL AADiVASHi,Independent,206,3,209,0.1,1
10,Smt. DURGESH NANDNI,Independent,304,1,305,0.14,1
11,BALWAN,Independent,724,0,724,0.34,1
12,MURLIDHAR PRAJAPATI,Independent,482,0,482,0.23,1
13,RAJENDRA KUMAR SHRIVASTAV,Independent,406,0,406,0.19,1
14,HARViLASH,Independent,634,0,634,0.3,1
15,NOTA,None of the Above,1794,7,1801,0.85,1
1,DHARA SINGH KUSHWAH,Bahujan Samaj Party,34209,137,34346,16.58,2
2,BABOO LAL MEWRA,Bharatiya Janata Party,51266,321,51587,24.91,2
3,RAMNIWAS RAWAT,Indian National Congress,68818,828,69646,33.63,2
4,RAMNIWASH KUSHWAH,Public Political Party,1083,1,1084,0.52,2
5,DEEPAK KHATIK,Independent,242,0,242,0.12,2
6,DURJAN JATAV,Independent,595,0,595,0.29,2
7,BABU LAL,Independent,821,0,821,0.4,2
8,MUKESH MALHOTRA AD.,Independent,44043,85,44128,21.31,2
9,RAMPAL ADIWASI,Independent,932,0,932,0.45,2
10,RAMROOP SINGH,Independent,430,2,432,0.21,2
11,LAKHAN SINGH,Independent,709,0,709,0.34,2
12,SULTAN,Independent,685,0,685,0.33,2
13,NOTA,None of the Above,1892,3,1895,0.92,2
1,ASHOK TIWARI,Communist Party of India (Marxist),1305,15,1320,0.73,3
2,BAIJ NATH KUSHWAH,Indian National Congress,56286,696,56982,31.63,3
3,Smt. Sarla vijendra Rawat,Bharatiya Janata Party,66305,482,66787,37.07,3
4,SONI DHAKAD,Bahujan Samaj Party,50773,380,51153,28.39,3
5,ABDUL GAFFAR SHAH,Public Political Party,349,0,349,0.19,3
6,KUN. Er. DHEER SINGH JHUNDPURA,Bharatiya Sampuran Krantikari Party,110,1,111,0.06,3
7,LAL SINGH RATHOR,Samajwadi Party,1778,3,1781,0.99,3
8,Shyamveer yadav,Aazad Samaj Party (Kanshi Ram),459,0,459,0.25,3
9,NARESH SHRiWAS,Independent,168,0,168,0.09,3
10,RAVENDRA SHRIVASTAVA,Independent,185,1,186,0.1,3
11,HEMRAJ KEWAT,Independent,267,0,267,0.15,3
12,NOTA,None of the Above,585,4,589,0.33,3
1,PANKAJ UPADHYAY,Indian National Congress,88109,1144,89253,46.71,4
2,FOUJI BHAGWATI DHAKAD RAJODHA,Aam Aadmi Party,1950,16,1966,1.03,4
3,SUBEDAR SINGH SIKARWAR RAJOUDHA,Bharatiya Janata Party,58625,347,58972,30.86,4
4,SONERAM KUSHWAH,Bahujan Samaj Party,36893,145,37038,19.38,4
5,ANIL DHAKAD ASALPUR,Parivartan Party of India,248,0,248,0.13,4
6,Arjun Singh Sikarwar (Ranchhorpura),Bharatiya Majdoor Janta Party,143,3,146,0.08,4
7,PATIRAM BAGHORAKHURD,Jan Adhikar Party,94,0,94,0.05,4
8,BHARAT LAL UMARAIYA,Aazad Samaj Party (Kanshi Ram),463,0,463,0.24,4
9,MANIRAM DHAKAD,Samajwadi Party,905,8,913,0.48,4
10,REENA KUSHWAH,All India Forward Bloc,235,1,236,0.12,4
11,SATTAR SYA,Public Political Party,100,0,100,0.05,4
12,ALOK SHARMA,Independent,123,0,123,0.06,4
13,ANKUSH UPADHYAY,Independent,220,0,220,0.12,4
14,JITENDRA SINGH DHAKAD,Independent,276,1,277,0.14,4
15,RAMKUMAR JATAV (SOLANKI),Independent,178,0,178,0.09,4
16,NOTA,None of the Above,847,6,853,0.45,4
1,AJAB SINGH KUSHWAH,Indian National Congress,54754,535,55289,29.7,5
2,AIDAL SINGH KANSANA,Bharatiya Janata Party,72134,374,72508,38.95,5
3,KULDEEP SINGH SIKARWAR,Bahujan Samaj Party,56197,303,56500,30.35,5
4,Smt MAMTA KUSHWAH,Aazad Samaj Party (Kanshi Ram),623,1,624,0.34,5
5,SIYARAM,Independent,87,1,88,0.05,5
